  자료 읽는 중...
  ⚠️ 지수 하루변동 ±25% 초과 31건 — 그날 수익률만 0으로 두고 이어 붙였다
  거래일 4,102

  ══ ① 섹터 상관 — **낮아야 분산이 먹힌다** ══

    코스피200 섹터 8 (8개 · 4,102일)  평균 상관 **+0.544**
      가장 낮은 쌍  코스피 200 정보기술 ↔ 코스피 200 생활소비재  +0.385
      가장 높은 쌍  코스피 200 건설 ↔ 코스피 200 중공업  +0.708
      ⇒ 분산 효과가 있다

    코스피 크기 3 (3개 · 4,102일)  평균 상관 **+0.752**
      가장 낮은 쌍  코스피 대형주 ↔ 코스피 소형주  +0.639
      가장 높은 쌍  코스피 중형주 ↔ 코스피 소형주  +0.888
      ⇒ ⚠️ 다 같이 움직인다 — 분산 효과가 작다

    코스피+코스닥 (2개 · 4,101일)  평균 상관 **+0.737**
      가장 낮은 쌍  코스피 ↔ 코스닥  +0.737
      가장 높은 쌍  코스피 ↔ 코스닥  +0.737
      ⇒ ⚠️ 다 같이 움직인다 — 분산 효과가 작다

    코스닥 업종 8 (8개 · 4,102일)  평균 상관 **+0.634**
      가장 낮은 쌍  제약 ↔ 전기전자  +0.495
      가장 높은 쌍  화학 ↔ 기계·장비  +0.814
      ⇒ 분산 효과가 있다


  ══ ②③ 리밸런싱 주기 × 비중 방식 ══
     ⚠️ 「안함」과 견줘야 **리밸런싱이 값어치가 있는지** 나온다

  ──── 코스피200 섹터 8 (8개) ────
    학습 2010~2017  (코스피 연 +4.8% · 낙폭 -25.9%)
      주기      비중            배수      연환산      낙폭      比    조정     비용      코스피대비
      안함      동일         1.232     2.6%  -36.0%   0.07     0   0.0%      -2.1%  
      연       동일         1.218     2.5%  -36.4%   0.07     8   0.1%      -2.3%  
      반기      동일         1.204     2.3%  -36.7%   0.06    16   0.2%      -2.4%  
      분기      동일         1.212     2.4%  -36.6%   0.07    32   0.3%      -2.3%  
      월       동일         1.200     2.3%  -36.9%   0.06    94   0.5%      -2.5%  
      밴드      동일         1.232     2.6%  -35.9%   0.07     4   0.1%      -2.1%  
      안함      역변동성       1.232     2.6%  -36.0%   0.07     0   0.0%      -2.1%  
      연       역변동성       1.303     3.3%  -30.2%   0.11     8   0.3%      -1.4%  
      반기      역변동성       1.244     2.7%  -30.9%   0.09    16   0.4%      -2.0%  
      분기      역변동성       1.229     2.6%  -32.6%   0.08    32   0.6%      -2.2%  
      월       역변동성       1.233     2.6%  -32.1%   0.08    94   1.0%      -2.1%  
      밴드      역변동성       1.248     2.8%  -31.2%   0.09    20   0.5%      -2.0%  

    검증 2018~2026  (코스피 연 +12.4% · 낙폭 -43.9%)
      주기      비중            배수      연환산      낙폭      比    조정     비용      코스피대비
      안함      동일         2.369    10.4%  -55.2%   0.19     0   0.0%      -1.9%  
      연       동일         2.271     9.9%  -54.7%   0.18     8   0.1%      -2.5%  
      반기      동일         2.468    11.0%  -55.1%   0.20    17   0.3%      -1.4%  
      분기      동일         2.297    10.1%  -55.2%   0.18    35   0.4%      -2.3%  
      월       동일         2.322    10.2%  -55.0%   0.19   101   0.7%      -2.2%  
